nt	acc1	acc2	acct	accv	su1	su2	rho1	rho2
10	 4.11302e-01	 7.01740e-01	 1.70782e-01	 5.23077e-01	-1.12266e+00	-2.27087e+00	 1.41784e-01	 3.02418e-01
20	 4.57159e-01	 6.36364e-01	 1.15619e-01	 3.92157e-01	-1.02996e+00	-2.80916e+00	 1.15566e-01	 3.83887e-01
30	 5.00613e-01	 5.60354e-01	 5.51020e-02	 2.26415e-01	-8.28697e-01	-3.59919e+00	 9.63678e-02	 4.99585e-01
40	 5.54540e-01	 5.30830e-01	 4.19847e-02	 1.66667e-01	-6.99130e-01	-4.04276e+00	 8.57045e-02	 5.82832e-01
50	 5.78656e-01	 5.33917e-01	 5.09165e-02	 2.00000e-01	-6.62645e-01	-3.93798e+00	 7.66912e-02	 5.82636e-01
60	 5.91253e-01	 5.33580e-01	 4.28850e-02	 1.73077e-01	-5.56366e-01	-3.85173e+00	 7.65886e-02	 5.54232e-01
70	 5.55360e-01	 5.31883e-01	 3.23232e-02	 2.58621e-01	-6.61159e-01	-3.96277e+00	 6.87309e-02	 5.71899e-01
80	 6.39963e-01	 5.20048e-01	 4.13386e-02	 2.81250e-01	-4.82652e-01	-4.06065e+00	 6.80428e-02	 5.88766e-01
90	 5.72987e-01	 5.32829e-01	 2.46085e-02	 2.32143e-01	-6.16812e-01	-3.87218e+00	 7.04323e-02	 5.76511e-01
100	 6.52433e-01	 5.07306e-01	 1.16279e-02	 3.45455e-01	-5.08375e-01	-4.26860e+00	 6.06638e-02	 6.21788e-01
110	 5.79170e-01	 4.93151e-01	 3.95833e-02	 2.59259e-01	-7.45433e-01	-4.22944e+00	 7.19458e-02	 6.09277e-01
120	 5.68052e-01	 5.12392e-01	 2.01207e-02	 1.04167e-01	-7.24042e-01	-4.28128e+00	 7.15395e-02	 6.20539e-01
130	 5.72643e-01	 5.17812e-01	 2.95858e-02	 2.36364e-01	-6.58478e-01	-4.24302e+00	 7.75702e-02	 6.18082e-01
140	 5.14876e-01	 5.30233e-01	 2.75049e-02	 2.14286e-01	-8.13182e-01	-4.21172e+00	 7.37107e-02	 6.11464e-01
150	 6.20846e-01	 5.08059e-01	 1.90840e-02	 1.60000e-01	-5.36888e-01	-4.23506e+00	 7.73236e-02	 6.12530e-01
160	 6.07084e-01	 5.02928e-01	 3.03644e-02	 1.48936e-01	-6.32002e-01	-4.28808e+00	 7.26556e-02	 6.15133e-01
170	 5.28007e-01	 5.10362e-01	 3.20641e-02	 1.66667e-01	-7.76986e-01	-4.08123e+00	 7.54753e-02	 5.89751e-01
180	 6.37315e-01	 4.93411e-01	 1.68539e-02	 1.60714e-01	-5.97490e-01	-4.31705e+00	 7.00358e-02	 6.23836e-01
190	 5.94412e-01	 5.16779e-01	 2.81124e-02	 2.55814e-01	-5.38247e-01	-4.26341e+00	 6.87914e-02	 6.19447e-01
200	 6.01362e-01	 5.10759e-01	 2.99145e-02	 3.00000e-01	-5.46145e-01	-4.30526e+00	 7.31471e-02	 6.27208e-01
210	 5.72424e-01	 4.97955e-01	 3.16456e-02	 1.96429e-01	-6.88519e-01	-4.24279e+00	 7.69523e-02	 6.10337e-01
220	 5.50829e-01	 4.96782e-01	 2.56410e-02	 2.43243e-01	-7.55503e-01	-4.22577e+00	 7.64159e-02	 6.12509e-01
230	 5.72519e-01	 4.66032e-01	 1.21704e-02	 8.51064e-02	-6.19035e-01	-4.58745e+00	 7.42612e-02	 6.62962e-01
240	 5.47481e-01	 5.16760e-01	 2.50000e-02	 1.06383e-01	-7.30516e-01	-4.48045e+00	 7.29544e-02	 6.46701e-01
250	 6.12403e-01	 5.04425e-01	 1.75097e-02	 2.91667e-01	-5.60922e-01	-4.17288e+00	 7.40162e-02	 6.03350e-01
260	 5.49004e-01	 5.13096e-01	 1.54739e-02	 1.69492e-01	-7.34110e-01	-4.26284e+00	 7.41480e-02	 6.12059e-01
270	 5.84512e-01	 4.91693e-01	 1.47059e-02	 1.56863e-01	-6.40903e-01	-4.13074e+00	 8.12020e-02	 6.05418e-01
280	 5.24416e-01	 5.15402e-01	 2.30326e-02	 8.51064e-02	-7.81819e-01	-4.11755e+00	 8.30118e-02	 6.04799e-01
290	 5.54225e-01	 5.03553e-01	 3.27869e-02	 9.25926e-02	-7.44456e-01	-4.17076e+00	 8.65834e-02	 6.03877e-01
300	 5.09177e-01	 4.88411e-01	 9.92063e-03	 1.04167e-01	-7.49708e-01	-4.49459e+00	 8.33369e-02	 6.57369e-01
310	 5.43447e-01	 4.91642e-01	 1.63934e-02	 1.40351e-01	-5.82836e-01	-4.34914e+00	 7.97001e-02	 6.33912e-01
320	 5.62241e-01	 4.78911e-01	 3.98406e-03	 1.95122e-01	-6.40254e-01	-4.31533e+00	 8.36203e-02	 6.11935e-01
330	 5.73477e-01	 5.33247e-01	 3.37553e-02	 3.12500e-01	-7.36539e-01	-3.89213e+00	 8.43030e-02	 5.64705e-01
340	 5.45881e-01	 5.08051e-01	 1.67910e-02	 2.11538e-01	-7.17962e-01	-4.22645e+00	 8.54134e-02	 6.11229e-01
350	 5.68252e-01	 4.77512e-01	 2.71845e-02	 2.39130e-01	-7.42024e-01	-4.28271e+00	 7.89620e-02	 6.29441e-01
360	 5.04714e-01	 4.98860e-01	 2.33918e-02	 2.05128e-01	-7.88765e-01	-4.22962e+00	 7.97437e-02	 6.08284e-01
370	 6.01040e-01	 5.02260e-01	 2.36220e-02	 2.70833e-01	-5.57906e-01	-4.25152e+00	 7.45468e-02	 6.26401e-01
380	 5.65556e-01	 5.29917e-01	 2.13592e-02	 2.85714e-01	-6.96465e-01	-4.01961e+00	 8.03362e-02	 5.93425e-01
390	 5.60658e-01	 5.32140e-01	 2.78373e-02	 1.78571e-01	-6.51209e-01	-4.21076e+00	 8.28221e-02	 6.09630e-01
400	 5.51989e-01	 4.96501e-01	 2.58449e-02	 1.90476e-01	-6.69883e-01	-4.19291e+00	 8.28336e-02	 5.98153e-01
410	 6.17899e-01	 5.09142e-01	 3.68098e-02	 1.48148e-01	-5.53319e-01	-4.02263e+00	 7.44547e-02	 5.80961e-01
420	 6.02740e-01	 5.21237e-01	 2.36220e-02	 2.44898e-01	-5.96118e-01	-4.23458e+00	 7.08563e-02	 6.13718e-01
430	 6.10424e-01	 4.91080e-01	 9.70874e-03	 2.17391e-01	-6.34341e-01	-4.23083e+00	 6.89862e-02	 6.13905e-01
440	 5.65657e-01	 5.19152e-01	 2.75591e-02	 1.52174e-01	-6.87413e-01	-4.16859e+00	 7.67750e-02	 6.03094e-01
450	 6.14374e-01	 5.13539e-01	 3.31384e-02	 1.85185e-01	-5.54605e-01	-4.17722e+00	 7.56702e-02	 5.96309e-01
460	 5.59570e-01	 5.38998e-01	 4.54545e-02	 1.79487e-01	-6.73987e-01	-4.00274e+00	 7.90740e-02	 5.80390e-01
470	 5.62077e-01	 5.09428e-01	 2.17822e-02	 2.43243e-01	-6.68191e-01	-4.24827e+00	 7.61965e-02	 6.18454e-01
