r	Paircorrelationfunction g(r)
 0.00000	    -nan
 0.01000	 0.00000
 0.02000	 0.00000
 0.03000	 0.00000
 0.04000	 0.00000
 0.05000	 0.00000
 0.06000	 0.00000
 0.07000	 0.00000
 0.08000	 0.00000
 0.09000	 0.00000
 0.10000	 0.00000
 0.11000	 0.00000
 0.12000	 0.00000
 0.13000	 0.00000
 0.14000	 0.00000
 0.15000	 0.00000
 0.16000	 0.00000
 0.17000	 0.00000
 0.18000	 0.00000
 0.19000	 0.00000
 0.20000	 0.00000
 0.21000	 0.00000
 0.22000	 0.00000
 0.23000	 0.00000
 0.24000	 0.00000
 0.25000	 0.00000
 0.26000	 0.00000
 0.27000	 0.00000
 0.28000	 0.00000
 0.29000	 0.00000
 0.30000	 0.00000
 0.31000	 0.00000
 0.32000	 0.00000
 0.33000	 0.00000
 0.34000	 0.00000
 0.35000	 0.00000
 0.36000	 0.00000
 0.37000	 0.00000
 0.38000	 0.00000
 0.39000	 0.00000
 0.40000	 0.00000
 0.41000	 0.00000
 0.42000	 0.00000
 0.43000	 0.00000
 0.44000	 0.00000
 0.45000	 0.00000
 0.46000	 0.00000
 0.47000	 0.00000
 0.48000	 0.00000
 0.49000	 0.00000
 0.50000	 0.00000
 0.51000	 0.00000
 0.52000	 0.00000
 0.53000	 0.00000
 0.54000	 0.00000
 0.55000	 0.00000
 0.56000	 0.00000
 0.57000	 0.00000
 0.58000	 0.00000
 0.59000	 0.00000
 0.60000	 0.00000
 0.61000	 0.00000
 0.62000	 0.00000
 0.63000	 0.00000
 0.64000	 0.00000
 0.65000	 0.00000
 0.66000	 0.00000
 0.67000	 0.00000
 0.68000	 0.00000
 0.69000	 0.00000
 0.70000	 0.00000
 0.71000	 0.00000
 0.72000	 0.00000
 0.73000	 0.00000
 0.74000	 0.00000
 0.75000	 0.00000
 0.76000	 0.00000
 0.77000	 0.00000
 0.78000	 0.00000
 0.79000	 0.00000
 0.80000	 0.00000
 0.81000	 0.00000
 0.82000	 0.00000
 0.83000	 0.00000
 0.84000	 0.00000
 0.85000	 0.00000
 0.86000	 0.00000
 0.87000	 0.00000
 0.88000	 0.00000
 0.89000	 0.00000
 0.90000	 0.00000
 0.91000	 0.00030
 0.92000	 0.00321
 0.93000	 0.01169
 0.94000	 0.04914
 0.95000	 0.08009
 0.96000	 0.17480
 0.97000	 0.29340
 0.98000	 0.48216
 0.99000	 0.72695
 1.00000	 1.01618
 1.01000	 1.31781
 1.02000	 1.58661
 1.03000	 1.93872
 1.04000	 2.22482
 1.05000	 2.48877
 1.06000	 2.66050
 1.07000	 2.81463
 1.08000	 2.91715
 1.09000	 3.00217
 1.10000	 3.02877
 1.11000	 3.00528
 1.12000	 2.93337
 1.13000	 2.88323
 1.14000	 2.82660
 1.15000	 2.72822
 1.16000	 2.59778
 1.17000	 2.46183
 1.18000	 2.35118
 1.19000	 2.24494
 1.20000	 2.11636
 1.21000	 1.99929
 1.22000	 1.91229
 1.23000	 1.85555
 1.24000	 1.68824
 1.25000	 1.61855
 1.26000	 1.48092
 1.27000	 1.38886
 1.28000	 1.33773
 1.29000	 1.21952
 1.30000	 1.15835
 1.31000	 1.08740
 1.32000	 1.02256
 1.33000	 0.99413
 1.34000	 0.90681
 1.35000	 0.87352
 1.36000	 0.80724
 1.37000	 0.78603
 1.38000	 0.74035
 1.39000	 0.68926
 1.40000	 0.65843
 1.41000	 0.64205
 1.42000	 0.63120
 1.43000	 0.58682
 1.44000	 0.55097
 1.45000	 0.57426
 1.46000	 0.53563
 1.47000	 0.53031
 1.48000	 0.52734
 1.49000	 0.54184
 1.50000	 0.52850
 1.51000	 0.51038
 1.52000	 0.52632
 1.53000	 0.52895
 1.54000	 0.51284
 1.55000	 0.52463
 1.56000	 0.53343
 1.57000	 0.54348
 1.58000	 0.54156
 1.59000	 0.55204
 1.60000	 0.55278
 1.61000	 0.55402
 1.62000	 0.56046
 1.63000	 0.57607
 1.64000	 0.58631
